state_name,county_fips,county_name,votes_gop_2020,votes_dem_2020,total_votes_2020,diff_2020,per_gop_2020,per_dem_2020,per_point_diff_2020,votes_gop_2024,votes_dem_2024,total_votes_2024,diff_2024,per_gop_2024,per_dem_2024,per_point_diff_2024,county_dem_total_2020,county_dem_total_2024,county_total_votes_2020,county_total_votes_2024,county_region,county_dem_percent_2020,county_dem_percent_2024,county_dem_share_2020,county_dem_share_2024,county_change_dem_percent,county_z_score,county_p_value_two_tailed,county_statistically_significant
New York,36001,Albany County,51081,99474,154101,-48393,0.3314774076741877,0.6455117098526291,-0.3140343021784413,54560,92589,147149,-38029.0,0.3707806373131995,0.6292193626868005,-0.2584387253736009,99474,92589,154101,147149,upstate,64.5511709852629,62.92193626868004,0.6455117098526291,0.6292193626868005,-1.6292347165828573,9.298678848566663,0.0,yes
New York,36003,Allegany County,14135,6048,20782,8087,0.6801559041478202,0.2910210759310942,0.389134828216726,13826,5483,19309,8343.0,0.7160391527267077,0.2839608472732922,0.4320783054534154,6048,5483,20782,19309,upstate,29.102107593109423,28.396084727329225,0.2910210759310942,0.28396084727329224,-0.7060228657801986,1.5604619562174933,0.11865075352551946,no
New York,36005,Bronx County,67740,355374,425715,-287634,0.1591205383883584,0.8347697403192277,-0.6756492019308693,98174,261670,359844,-163496.0,0.2728237791932059,0.727176220806794,-0.454352441613588,355374,261670,425715,359844,downstate,83.47697403192277,72.7176220806794,0.8347697403192277,0.727176220806794,-10.75935195124336,115.74834187866969,0.0,yes
New York,36007,Broome County,43800,47010,92794,-3210,0.4720132767204776,0.5066060305623208,-0.0345927538418431,44763,45142,89905,-379.0,0.4978922195650965,0.5021077804349036,-0.004215560869807,47010,45142,92794,89905,upstate,50.66060305623208,50.21077804349036,0.5066060305623208,0.5021077804349036,-0.4498250127417194,1.9225344962709623,0.05453853728654812,no
New York,36009,Cattaraugus County,22155,11879,34845,10276,0.6358157554885924,0.3409097431482278,0.2949060123403645,22586,11424,34010,11162.0,0.6640987944722141,0.3359012055277859,0.3281975889444281,11879,11424,34845,34010,upstate,34.09097431482279,33.59012055277859,0.34090974314822786,0.33590120552778596,-0.5008537620441942,1.3886493315645925,0.16493940862099965,no
New York,36011,Cayuga County,19512,16149,36421,3363,0.5357348782295929,0.4433980395925427,0.0923368386370501,20482,15772,36254,4710.0,0.5649583494235119,0.4350416505764881,0.1299166988470237,16149,15772,36421,36254,upstate,44.339803959254276,43.50416505764881,0.44339803959254276,0.43504165057648814,-0.8356389016054635,2.2695601811991044,0.02323428189870924,yes
New York,36013,Chautauqua County,34853,23087,59304,11766,0.5877006610009443,0.3892992041009038,0.1984014569000405,34528,22085,56613,12443.0,0.609895253740307,0.390104746259693,0.2197905074806139,23087,22085,59304,56613,upstate,38.92992041009038,39.0104746259693,0.3892992041009038,0.390104746259693,0.08055421587891942,-0.281111999350386,0.7786244979717889,no
New York,36015,Chemung County,21922,16636,39410,5286,0.5562547576757169,0.4221263638670388,0.134128393808678,21861,15572,37433,6289.0,0.5840034194427377,0.4159965805572623,0.1680068388854754,16636,15572,39410,37433,upstate,42.212636386703885,41.59965805572623,0.42212636386703883,0.4159965805572623,-0.6129783309776542,1.721306324149124,0.08519525250628623,no
New York,36017,Chenango County,13482,8290,22282,5192,0.6050623821919038,0.372049187685127,0.2330131945067767,14294,8177,22471,6117.0,0.6361087624048773,0.3638912375951226,0.2722175248097547,8290,8177,22282,22471,upstate,37.2049187685127,36.38912375951226,0.372049187685127,0.3638912375951226,-0.8157950090004391,1.7893174372353047,0.07356370738787521,no
New York,36019,Clinton County,16514,18364,35437,-1850,0.4660101024353077,0.5182154245562548,-0.052205322120947,18247,17478,35725,769.0,0.5107627711686494,0.4892372288313505,0.0215255423372988,18364,17478,35437,35725,upstate,51.82154245562548,48.923722883135056,0.5182154245562548,0.48923722883135057,-2.8978195724904268,7.730428041924062,1.0658141036401503e-14,yes
New York,36021,Columbia County,14464,20386,35522,-5922,0.4071842801644051,0.5738978661111424,-0.1667135859467371,15168,20396,35564,-5228.0,0.4264987065571927,0.5735012934428073,-0.1470025868856146,20386,20396,35522,35564,upstate,57.38978661111423,57.35012934428073,0.5738978661111424,0.5735012934428073,-0.039657266833501126,0.10690169345164235,0.9148669697114944,no
New York,36023,Cortland County,10789,10369,21678,420,0.497693514161823,0.4783190331211366,0.0193744810406863,11706,10290,21996,1416.0,0.5321876704855428,0.4678123295144571,0.0643753409710856,10369,10290,21678,21996,upstate,47.83190331211367,46.781232951445716,0.47831903312113666,0.46781232951445717,-1.0506703606679508,2.1988686626619596,0.027887262446181005,yes
New York,36025,Delaware County,13387,9143,23025,4244,0.5814115092290988,0.3970901194353963,0.1843213897937025,13789,9237,23026,4552.0,0.5988447841570399,0.4011552158429601,0.1976895683140797,9143,9237,23025,23026,upstate,39.70901194353963,40.11552158429602,0.3970901194353963,0.40115521584296016,0.40650964075638996,-0.8906647639934762,0.37310904345266316,no
New York,36027,Dutchess County,66872,81443,151122,-14571,0.4425034078426701,0.5389221953123966,-0.0964187874697264,71778,79994,151772,-8216.0,0.4729330838362807,0.5270669161637193,-0.0541338323274385,81443,79994,151122,151772,downstate,53.89221953123966,52.70669161637193,0.5389221953123966,0.5270669161637193,-1.185527914867734,6.538874976099084,6.198330737561264e-11,yes
New York,36029,Erie County,197527,267174,473021,-69647,0.4175861113988596,0.564824817502817,-0.1472387061039573,204774,248651,453425,-43877.0,0.4516160335226333,0.5483839664773668,-0.0967679329547334,267174,248651,473021,453425,upstate,56.4824817502817,54.83839664773667,0.564824817502817,0.5483839664773668,-1.6440851025450272,15.924122857445969,0.0,yes
New York,36031,Essex County,8976,9947,19259,-971,0.4660678124513214,0.5164857988472922,-0.0504179863959707,9533,9629,19162,-96.0,0.4974950422711616,0.5025049577288383,-0.0050099154576766,9947,9629,19259,19162,upstate,51.648579884729216,50.25049577288383,0.5164857988472922,0.5025049577288383,-1.3980841118453853,2.7409105838341925,0.006126917861084102,yes
New York,36033,Franklin County,9668,9253,19268,415,0.5017645837658293,0.4802262819182064,0.0215383018476229,10569,8821,19390,1748.0,0.545074780814853,0.454925219185147,0.090149561629706,9253,8821,19268,19390,upstate,48.02262819182064,45.4925219185147,0.4802262819182064,0.454925219185147,-2.5301062733059396,4.985097446135306,6.193059229886444e-07,yes
New York,36035,Fulton County,15378,7931,23744,7447,0.6476583557951483,0.3340212264150943,0.3136371293800539,16237,7666,23903,8571.0,0.6792871187717023,0.3207128812282977,0.3585742375434046,7931,7666,23744,23903,upstate,33.402122641509436,32.07128812282977,0.33402122641509435,0.3207128812282977,-1.3308345186796657,3.0953547686623524,0.0019657761545039953,yes
New York,36037,Genesee County,18876,9625,29217,9251,0.6460622240476435,0.329431495362289,0.3166307286853544,18997,9367,28364,9630.0,0.6697574390071922,0.3302425609928078,0.3395148780143844,9625,9367,29217,28364,upstate,32.94314953622891,33.02425609928078,0.32943149536228905,0.3302425609928078,0.08110656305186836,-0.20695695951334894,0.8360434720677552,no
